time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4996240E+000	4.082382525318073E+002
1.999999949475750E+000	1.4994142E+000	2.279615521179194E+002
2.999999924213625E+000	1.4995668E+000	1.686277370605467E+002
3.999999898951501E+000	1.4994524E+000	1.393574871673582E+002
4.999999873689376E+000	1.4995668E+000	1.212880821136473E+002
5.999999848427251E+000	1.4994142E+000	1.083949043319702E+002
6.999999823165126E+000	1.4994714E+000	9.864190144042959E+001
7.999999797903001E+000	1.4995859E+000	9.095717126312229E+001
8.999999772640876E+000	1.4993951E+000	8.471339662933337E+001
9.999999747378752E+000	1.4995668E+000	7.954168834686266E+001
1.099999972211663E+001	1.4994524E+000	7.518737928314204E+001
1.199999969685450E+001	1.4996622E+000	7.138599109802249E+001
1.299999967159238E+001	1.4995286E+000	6.808325975799559E+001
1.399999964633025E+001	1.4995286E+000	6.521654410400390E+001
1.499999962106813E+001	1.4995859E+000	6.272600434341416E+001
1.599999959580600E+001	1.4995286E+000	6.053256980590820E+001
1.699999957054388E+001	1.4995668E+000	5.860529770889281E+001
1.799999954528175E+001	1.4996622E+000	5.689659141693114E+001
1.899999952001963E+001	1.4993951E+000	5.537084396591172E+001
1.999999949475750E+001	1.4996049E+000	5.399354587478635E+001
2.099999946949538E+001	1.4994524E+000	5.277478516616816E+001
2.199999944423325E+001	1.4994524E+000	5.167809564208983E+001
2.299999941897113E+001	1.4995668E+000	5.069106190490720E+001
2.399999939370900E+001	1.4994905E+000	4.983485519485464E+001
2.499999936844688E+001	1.4997003E+000	4.903869545516966E+001
2.599999934318475E+001	1.4995096E+000	4.792103707277704E+001
2.699999931792263E+001	1.4996240E+000	4.748240584182736E+001
2.799999929266050E+001	1.4995286E+000	4.688133874893185E+001
2.899999926739838E+001	1.4996431E+000	4.637385510101319E+001
2.999999924213625E+001	1.4995286E+000	4.595362395629883E+001
3.099999921687413E+001	1.4996240E+000	4.551662523727413E+001
3.199999919161201E+001	1.4995286E+000	4.515036416854858E+001
3.299999916634988E+001	1.4996240E+000	4.478493501739501E+001
3.399999914108776E+001	1.4994524E+000	4.446085827789301E+001
3.499999911582563E+001	1.4995668E+000	4.415321828536980E+001
3.599999909056351E+001	1.4993379E+000	4.397326242980955E+001
3.699999906530138E+001	1.4994524E+000	4.371400187377924E+001
3.799999904003926E+001	1.4995477E+000	4.343080228958127E+001
3.899999901477713E+001	1.4995286E+000	4.318306621093745E+001
3.999999898951501E+001	1.4996812E+000	4.298386842422480E+001
4.099999896425288E+001	1.4993951E+000	4.281102796554563E+001
4.199999893899076E+001	1.4995286E+000	4.268035508346558E+001
4.299999891372863E+001	1.4993761E+000	4.258768017349240E+001
4.399999888846651E+001	1.4996049E+000	4.238930849761962E+001
4.499999886320438E+001	1.4995477E+000	4.221690824279779E+001
4.599999883794226E+001	1.4994142E+000	4.206948028793335E+001
4.699999881268013E+001	1.4994333E+000	4.190671857910155E+001
4.799999878741801E+001	1.4994714E+000	4.181487770004264E+001
4.899999876215588E+001	1.4996812E+000	4.174765753326415E+001
4.999999873689376E+001	1.4995096E+000	4.159756925277708E+001
5.099999871163163E+001	1.4996049E+000	4.147715611801141E+001
5.199999868636951E+001	1.4994714E+000	4.135488930206296E+001
5.299999866110738E+001	1.4996812E+000	4.123170413055419E+001
5.399999863584526E+001	1.4994714E+000	4.113145180892934E+001
5.499999861058313E+001	1.4994905E+000	4.107873802642814E+001
5.599999858532101E+001	1.4996240E+000	4.094032422790519E+001
5.699999856005888E+001	1.4993761E+000	4.080857768096922E+001
5.799999853479676E+001	1.4993188E+000	4.068530370635983E+001
5.899999850953463E+001	1.4994524E+000	4.055387126159668E+001
5.999999848427251E+001	1.4996240E+000	4.042755393447874E+001
6.099999845901039E+001	1.4996622E+000	4.035692902679443E+001
6.199999843374826E+001	1.4994905E+000	4.025342667312611E+001
6.299999840848614E+001	1.4996049E+000	4.011304773101807E+001
6.399999838322401E+001	1.4992234E+000	3.997947018203729E+001
6.499999835796189E+001	1.4996049E+000	3.984936135406494E+001
6.599999833269976E+001	1.4995286E+000	3.971844464492797E+001
6.699999830743764E+001	1.4995096E+000	3.964521310119630E+001
6.799999828217551E+001	1.4995286E+000	3.956069215545651E+001
6.899999825691339E+001	1.4994714E+000	3.942797034378049E+001
6.999999823165126E+001	1.4994524E+000	3.929033238067626E+001
7.099999820638914E+001	1.4992806E+000	3.914259394836421E+001
7.199999818112701E+001	1.4995668E+000	3.899389154281619E+001
7.299999815586489E+001	1.4996622E+000	3.886119376449585E+001
7.399999813060276E+001	1.4995859E+000	3.878107135467525E+001
7.499999810534064E+001	1.4994905E+000	3.861809945831297E+001
7.599999808007851E+001	1.4996431E+000	3.845814037780764E+001
7.699999805481639E+001	1.4995668E+000	3.830360039138793E+001
7.799999802955426E+001	1.4993570E+000	3.814921586074829E+001
7.899999800429214E+001	1.4994333E+000	3.800486874237049E+001
7.999999797903001E+001	1.4996240E+000	3.789705574951171E+001
8.099999795376789E+001	1.4994714E+000	3.774727736816396E+001
8.199999792850576E+001	1.4994905E+000	3.760536709289545E+001
8.299999790324364E+001	1.4997003E+000	3.743766819381710E+001
8.399999787798151E+001	1.4993570E+000	3.726617884445187E+001
8.499999785271939E+001	1.4994714E+000	3.710563681793212E+001
8.599999782745726E+001	1.4995286E+000	3.700432859191892E+001
8.699999780219514E+001	1.4994714E+000	3.687971072463989E+001
8.799999777693301E+001	1.4995668E+000	3.671060150375365E+001
8.899999775167089E+001	1.4994524E+000	3.653810376586910E+001
8.999999772640876E+001	1.4995096E+000	3.636947134246827E+001
9.099999770114664E+001	1.4995286E+000	3.619907620239258E+001
9.199999767588452E+001	1.4994142E+000	3.606617019348141E+001
9.299999765062239E+001	1.4996431E+000	3.594095488586424E+001
9.399999762536027E+001	1.4995668E+000	3.575947921829223E+001
9.499999760009814E+001	1.4993761E+000	3.559748525238035E+001
9.599999757483602E+001	1.4994905E+000	3.544541477279660E+001
9.699999754957389E+001	1.4995477E+000	3.527589413757325E+001
9.799999752431177E+001	1.4994905E+000	3.510442030944819E+001
9.899999749904964E+001	1.4997385E+000	3.497784454956053E+001
9.999999747378752E+001	1.4997385E+000	3.480024004974359E+001
1.009999974485254E+002	1.4994714E+000	3.461683204956051E+001
1.019999974232633E+002	1.4995096E+000	3.444094731063842E+001
1.029999973980011E+002	1.4995286E+000	3.427088888626099E+001
1.039999973727390E+002	1.4994905E+000	3.409989545288086E+001
1.049999973474769E+002	1.4995286E+000	3.397169990539544E+001
1.059999973222148E+002	1.4995096E+000	3.381218577651975E+001
1.069999972969526E+002	1.4994714E+000	3.363234786987300E+001
1.079999972716905E+002	1.4995286E+000	3.345639447021483E+001
1.089999972464284E+002	1.4992998E+000	3.328850201644894E+001
1.099999972211663E+002	1.4995859E+000	3.312664086685174E+001
1.109999971959041E+002	1.4994905E+000	3.299904334869382E+001
1.119999971706420E+002	1.4995859E+000	3.286984523315425E+001
1.129999971453799E+002	1.4994714E+000	3.270671227645869E+001
1.139999971201178E+002	1.4996049E+000	3.253879423446654E+001
1.149999970948556E+002	1.4994333E+000	3.237422108840940E+001
1.159999970695935E+002	1.4997003E+000	3.220968783569322E+001
1.169999970443314E+002	1.4994905E+000	3.206793854484556E+001
1.179999970190693E+002	1.4995668E+000	3.195402575874323E+001
1.189999969938071E+002	1.4997194E+000	3.179057912902829E+001
1.199999969685450E+002	1.4993761E+000	3.162735656280518E+001
1.209999969432829E+002	1.4995096E+000	3.146813560485840E+001
1.219999969180208E+002	1.4995477E+000	3.131456748809814E+001
1.229999968927586E+002	1.4995477E+000	3.117549832267758E+001
1.239999968674965E+002	1.4995477E+000	3.107485617828365E+001
1.249999968422344E+002	1.4994524E+000	3.092012718543992E+001
1.259999968169723E+002	1.4994905E+000	3.076688163642882E+001
1.269999967917101E+002	1.4997003E+000	3.061779588775635E+001
1.279999967664480E+002	1.4995668E+000	3.046692078361511E+001
1.289999967411859E+002	1.4996431E+000	3.032148999977107E+001
1.299999967159238E+002	1.4996049E+000	3.021504767227172E+001
1.309999966906616E+002	1.4994905E+000	3.008974009246822E+001
1.319999966653995E+002	1.4994524E+000	2.994210747222900E+001
1.329999966401374E+002	1.4995477E+000	2.979427403602597E+001
1.339999966148753E+002	1.4994714E+000	2.965171652069088E+001
1.349999965896131E+002	1.4995286E+000	2.950578252296447E+001
1.359999965643510E+002	1.4994714E+000	2.939450867996214E+001
1.369999965390889E+002	1.4997194E+000	2.928940071411125E+001
1.379999965138268E+002	1.4996431E+000	2.914923191261289E+001
1.389999964885646E+002	1.4994714E+000	2.901046265830996E+001
1.399999964633025E+002	1.4995859E+000	2.887321561393730E+001
1.409999964380404E+002	1.4996049E+000	2.873851818733212E+001
1.419999964127783E+002	1.4995096E+000	2.862744125175476E+001
1.429999963875161E+002	1.4994905E+000	2.853916587028505E+001
1.439999963622540E+002	1.4995859E+000	2.840153396568292E+001
1.449999963369919E+002	1.4995859E+000	2.827296895256040E+001
1.459999963117298E+002	1.4994714E+000	2.814926433258051E+001
1.469999962864676E+002	1.4993570E+000	2.802270364227297E+001
1.479999962612055E+002	1.4995096E+000	2.791426207656855E+001
1.489999962359434E+002	1.4994142E+000	2.783727892875675E+001
1.499999962106813E+002	1.4995096E+000	2.771119986419677E+001
1.509999961854192E+002	1.4993570E+000	2.758606443023677E+001
1.519999961601570E+002	1.4995477E+000	2.746368486518861E+001
1.529999961348949E+002	1.4996431E+000	2.734114919776914E+001
1.539999961096328E+002	1.4994524E+000	2.722992081298821E+001
1.549999960843707E+002	1.4995286E+000	2.715249245910644E+001
1.559999960591085E+002	1.4997003E+000	2.704700538749688E+001
1.569999960338464E+002	1.4995477E+000	2.692359996833795E+001
1.579999960085843E+002	1.4995859E+000	2.680904505233764E+001
1.589999959833222E+002	1.4994905E+000	2.669705311546323E+001
1.599999959580600E+002	1.4995859E+000	2.658433572578429E+001
1.609999959327979E+002	1.4995096E+000	2.649953647232056E+001
1.619999959075358E+002	1.4994333E+000	2.641779745445251E+001
1.629999958822737E+002	1.4995668E+000	2.630665303115836E+001
1.639999958570115E+002	1.4995096E+000	2.619869102935786E+001
1.649999958317494E+002	1.4994905E+000	2.609159407119751E+001
1.659999958064873E+002	1.4995668E+000	2.598539953575133E+001
1.669999957812252E+002	1.4995668E+000	2.589964354934688E+001
1.679999957559630E+002	1.4994714E+000	2.583241989784241E+001
1.689999957307009E+002	1.4995286E+000	2.571658135948181E+001
1.699999957054388E+002	1.4995096E+000	2.561376979980466E+001
1.709999956801767E+002	1.4995668E+000	2.551130442924500E+001
1.719999956549145E+002	1.4996622E+000	2.540714802856445E+001
1.729999956296524E+002	1.4994905E+000	2.531777453765864E+001
1.739999956043903E+002	1.4994905E+000	2.526046213226317E+001
1.749999955791282E+002	1.4994524E+000	2.516296124496461E+001
1.759999955538660E+002	1.4994905E+000	2.506804246635437E+001
1.769999955286039E+002	1.4995859E+000	2.497209994735715E+001
1.779999955033418E+002	1.4993951E+000	2.487404800071717E+001
1.789999954780797E+002	1.4994714E+000	2.477952628707880E+001
1.799999954528175E+002	1.4994524E+000	2.471634078025818E+001
1.809999954275554E+002	1.4995477E+000	2.463375280303955E+001
1.819999954022933E+002	1.4994142E+000	2.453299143981933E+001
1.829999953770312E+002	1.4995477E+000	2.444131034469603E+001
1.839999953517690E+002	1.4995859E+000	2.435459262580872E+001
1.849999953265069E+002	1.4995477E+000	2.426283881835934E+001
1.859999953012448E+002	1.4994905E+000	2.420095069923401E+001
1.869999952759827E+002	1.4995286E+000	2.413389749794007E+001
1.879999952507205E+002	1.4994905E+000	2.403892954025264E+001
1.889999952254584E+002	1.4995096E+000	2.395207142677305E+001
1.899999952001963E+002	1.4997194E+000	2.386710990333552E+001
1.909999951749342E+002	1.4993951E+000	2.377735697212219E+001
1.919999951496720E+002	1.4994142E+000	2.370712800445557E+001
1.929999951244099E+002	1.4995859E+000	2.365530187263488E+001
1.939999950991478E+002	1.4994905E+000	2.356473305397034E+001
1.949999950738857E+002	1.4994714E+000	2.348470674743652E+001
1.959999950486235E+002	1.4994333E+000	2.340729184112547E+001
1.969999950233614E+002	1.4995477E+000	2.332359167404172E+001
1.979999949980993E+002	1.4995096E+000	2.324860457763668E+001
1.989999949728372E+002	1.4995096E+000	2.320714762802124E+001
1.999999949475750E+002	1.4994142E+000	2.312018547515868E+001
2.009999949223129E+002	1.4994905E+000	2.303699837570190E+001
2.019999948970508E+002	1.4995096E+000	2.295809932899475E+001
2.029999948717887E+002	1.4995477E+000	2.287677549552916E+001
2.039999948465265E+002	1.4994333E+000	2.280024584007259E+001
2.049999948212644E+002	1.4995286E+000	2.275560727119446E+001
2.059999947960023E+002	1.4995859E+000	2.268768937683103E+001
2.069999947707402E+002	1.4996240E+000	2.260923613700865E+001
2.079999947454780E+002	1.4993951E+000	2.253348123970031E+001
2.089999947202159E+002	1.4995286E+000	2.245633502235412E+001
2.099999946949538E+002	1.4997385E+000	2.237872812156678E+001
2.109999946696917E+002	1.4995096E+000	2.232581340904235E+001
2.119999946444295E+002	1.4995477E+000	2.227211910858153E+001
2.129999946191674E+002	1.4993951E+000	2.218805332031249E+001
2.139999945939053E+002	1.4995477E+000	2.211284054565429E+001
2.149999945686432E+002	1.4993570E+000	2.203637822418210E+001
2.159999945433810E+002	1.4994524E+000	2.195856412620543E+001
2.169999945181189E+002	1.4995096E+000	2.189661559562683E+001
2.179999944928568E+002	1.4995668E+000	2.185816048049924E+001
2.189999944675947E+002	1.4995286E+000	2.177816141281124E+001
2.199999944423325E+002	1.4995668E+000	2.170854059867855E+001
2.209999944170704E+002	1.4994905E+000	2.163434562988280E+001
2.219999943918083E+002	1.4994905E+000	2.156394715423585E+001
2.229999943665462E+002	1.4994905E+000	2.149978519554134E+001
2.239999943412840E+002	1.4996240E+000	2.146967821998595E+001
2.249999943160219E+002	1.4994905E+000	2.140111664161680E+001
2.259999942907598E+002	1.4996431E+000	2.133440067672723E+001
2.269999942654977E+002	1.4993951E+000	2.126580076713560E+001
2.279999942402355E+002	1.4996049E+000	2.119982456550599E+001
2.289999942149734E+002	1.4994142E+000	2.113716625366209E+001
2.299999941897113E+002	1.4997385E+000	2.110289320945736E+001
