time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4993767E+000	1.700427969240177E+002
1.999999949475750E+000	1.4993385E+000	9.139212701568601E+001
2.999999924213625E+000	1.4993004E+000	6.439118949508668E+001
3.999999898951501E+000	1.4994339E+000	4.580008133757769E+001
4.999999873689376E+000	1.4993004E+000	4.064769455108637E+001
5.999999848427251E+000	1.4993385E+000	3.494581905136107E+001
6.999999823165126E+000	1.4993385E+000	3.109783167495727E+001
7.999999797903001E+000	1.4993385E+000	2.830276587066652E+001
8.999999772640876E+000	1.4994148E+000	2.567970607414242E+001
9.999999747378752E+000	1.4994148E+000	2.395059366340635E+001
1.099999972211663E+001	1.4993385E+000	2.300310250816347E+001
1.199999969685450E+001	1.4994529E+000	2.227242223625183E+001
1.299999967159238E+001	1.4994339E+000	2.146642463264465E+001
1.399999964633025E+001	1.4993576E+000	2.075780136871336E+001
1.499999962106813E+001	1.4995102E+000	1.972110670776368E+001
1.599999959580600E+001	1.4993957E+000	1.888668748817440E+001
1.699999957054388E+001	1.4993767E+000	1.874264463119505E+001
1.799999954528175E+001	1.4993576E+000	1.856067982177734E+001
1.899999952001963E+001	1.4992813E+000	1.828321591949464E+001
1.999999949475750E+001	1.4993004E+000	1.810185071716307E+001
2.099999946949538E+001	1.4992813E+000	1.754161411399841E+001
2.199999944423325E+001	1.4993194E+000	1.675658805465698E+001
2.299999941897113E+001	1.4993957E+000	1.659514193000794E+001
2.399999939370900E+001	1.4993004E+000	1.670388422584533E+001
2.499999936844688E+001	1.4993385E+000	1.667565279731747E+001
2.599999934318475E+001	1.4994339E+000	1.651676776847836E+001
2.699999931792263E+001	1.4993576E+000	1.622555294685361E+001
2.799999929266050E+001	1.4993004E+000	1.555333039894104E+001
2.899999926739838E+001	1.4993194E+000	1.541373637599945E+001
2.999999924213625E+001	1.4993576E+000	1.552395866088864E+001
3.099999921687413E+001	1.4992622E+000	1.552468059883114E+001
3.199999919161201E+001	1.4993004E+000	1.547646558685301E+001
3.299999916634988E+001	1.4993957E+000	1.538355066242218E+001
3.399999914108776E+001	1.4992813E+000	1.475003491516114E+001
3.499999911582563E+001	1.4993767E+000	1.438269463500976E+001
3.599999909056351E+001	1.4994529E+000	1.447375222454070E+001
3.699999906530138E+001	1.4994529E+000	1.463979744892119E+001
3.799999904003926E+001	1.4994529E+000	1.459148085098263E+001
3.899999901477713E+001	1.4992813E+000	1.450859813232415E+001
3.999999898951501E+001	1.4992241E+000	1.406737434883117E+001
4.099999896425288E+001	1.4993767E+000	1.364159010257721E+001
4.199999893899076E+001	1.4994529E+000	1.376272875003814E+001
4.299999891372863E+001	1.4992241E+000	1.385616337642668E+001
4.399999888846651E+001	1.4993194E+000	1.384306607742309E+001
4.499999886320438E+001	1.4993767E+000	1.387045615901945E+001
4.599999883794226E+001	1.4993767E+000	1.357942876167296E+001
4.699999881268013E+001	1.4993004E+000	1.301967647151946E+001
4.799999878741801E+001	1.4994148E+000	1.296887755088807E+001
4.899999876215588E+001	1.4994148E+000	1.314261866931915E+001
4.999999873689376E+001	1.4994148E+000	1.323430253868103E+001
5.099999871163163E+001	1.4994911E+000	1.319659757518764E+001
5.199999868636951E+001	1.4993767E+000	1.304648398303986E+001
5.299999866110738E+001	1.4994148E+000	1.251604813785553E+001
5.399999863584526E+001	1.4993957E+000	1.244016712436675E+001
5.499999861058313E+001	1.4993004E+000	1.259932802276611E+001
5.599999858532101E+001	1.4993576E+000	1.266338847694395E+001
5.699999856005888E+001	1.4993576E+000	1.268694846954344E+001
5.799999853479676E+001	1.4993576E+000	1.269157637081145E+001
5.899999850953463E+001	1.4993004E+000	1.222811573753356E+001
5.999999848427251E+001	1.4993957E+000	1.195192939510343E+001
6.099999845901039E+001	1.4994529E+000	1.205951982002258E+001
6.199999843374826E+001	1.4993385E+000	1.224557189731598E+001
6.299999840848614E+001	1.4991478E+000	1.225381859683990E+001
6.399999838322401E+001	1.4993194E+000	1.223341635875701E+001
6.499999835796189E+001	1.4993957E+000	1.191456001396179E+001
6.599999833269976E+001	1.4992050E+000	1.157475490341186E+001
6.699999830743764E+001	1.4993194E+000	1.172242949390410E+001
6.799999828217551E+001	1.4994911E+000	1.183617989921569E+001
6.899999825691339E+001	1.4993767E+000	1.187119112987518E+001
6.999999823165126E+001	1.4993004E+000	1.193222038669586E+001
7.099999820638914E+001	1.4993576E+000	1.174608046417236E+001
7.199999818112701E+001	1.4993957E+000	1.130562284317017E+001
7.299999815586489E+001	1.4994148E+000	1.128535240230559E+001
7.399999813060276E+001	1.4993194E+000	1.146027261600494E+001
7.499999810534064E+001	1.4993004E+000	1.158335045509335E+001
7.599999808007851E+001	1.4994529E+000	1.157664308567047E+001
7.699999805481639E+001	1.4992622E+000	1.147821307468415E+001
7.799999802955426E+001	1.4993194E+000	1.105146690578461E+001
7.899999800429214E+001	1.4993767E+000	1.099688313827514E+001
7.999999797903001E+001	1.4992431E+000	1.116658422260284E+001
8.099999795376789E+001	1.4994148E+000	1.124542405910492E+001
8.199999792850576E+001	1.4993004E+000	1.128406512145996E+001
8.299999790324364E+001	1.4993385E+000	1.132706126251222E+001
8.399999787798151E+001	1.4993194E+000	1.094788671531674E+001
8.499999785271939E+001	1.4994148E+000	1.071339436550139E+001
8.599999782745726E+001	1.4993957E+000	1.082300673294067E+001
8.699999780219514E+001	1.4995102E+000	1.100961522464749E+001
8.799999777693301E+001	1.4993194E+000	1.105829021186827E+001
8.899999775167089E+001	1.4993385E+000	1.105789842681884E+001
8.999999772640876E+001	1.4994720E+000	1.078201545772552E+001
9.099999770114664E+001	1.4993194E+000	1.047150537796020E+001
9.199999767588452E+001	1.4993957E+000	1.061844943637847E+001
9.299999765062239E+001	1.4996437E+000	1.074411462478636E+001
9.399999762536027E+001	1.4994529E+000	1.079680508632660E+001
9.499999760009814E+001	1.4993767E+000	1.087369466800686E+001
9.599999757483602E+001	1.4994720E+000	1.073050593967438E+001
9.699999754957389E+001	1.4993004E+000	1.033364088573455E+001
9.799999752431177E+001	1.4992813E+000	1.031745610561370E+001
9.899999749904964E+001	1.4992241E+000	1.048108841342926E+001
9.999999747378752E+001	1.4992241E+000	1.061316406135558E+001
1.009999974485254E+002	1.4993004E+000	1.063359899082184E+001
1.019999974232633E+002	1.4994529E+000	1.056465983028411E+001
1.029999973980011E+002	1.4993957E+000	1.018295257720948E+001
1.039999973727390E+002	1.4994720E+000	1.013487503299712E+001
1.049999973474769E+002	1.4993957E+000	1.029858794021605E+001
1.059999973222148E+002	1.4994911E+000	1.038819497985840E+001
1.069999972969526E+002	1.4992241E+000	1.043267916622162E+001
1.079999972716905E+002	1.4994911E+000	1.049858132076261E+001
1.089999972464284E+002	1.4995292E+000	1.016576369400025E+001
1.099999972211663E+002	1.4993385E+000	9.947510564041139E+000
1.109999971959041E+002	1.4994911E+000	1.005345610923767E+001
1.119999971706420E+002	1.4994148E+000	1.023837400016782E+001
1.129999971453799E+002	1.4993576E+000	1.028984864120480E+001
1.139999971201178E+002	1.4994529E+000	1.030365210056303E+001
1.149999970948556E+002	1.4993385E+000	1.007980365486144E+001
1.159999970695935E+002	1.4993385E+000	9.795965890502913E+000
1.169999970443314E+002	1.4993004E+000	9.932550227737423E+000
1.179999970190693E+002	1.4994339E+000	1.005403976440429E+001
1.189999969938071E+002	1.4994148E+000	1.011623455219268E+001
1.199999969685450E+002	1.4994911E+000	1.020244291095733E+001
1.209999969432829E+002	1.4994720E+000	1.009943828544615E+001
1.219999969180208E+002	1.4993004E+000	9.725051516342148E+000
1.229999968927586E+002	1.4993385E+000	9.700432396698005E+000
1.239999968674965E+002	1.4994148E+000	9.855116057968132E+000
1.249999968422344E+002	1.4993385E+000	1.000463866729736E+001
1.259999968169723E+002	1.4993194E+000	1.002847020626066E+001
1.269999967917101E+002	1.4993004E+000	9.990207738876336E+000
1.279999967664480E+002	1.4993576E+000	9.654706787109376E+000
1.289999967411859E+002	1.4993004E+000	9.580462339591982E+000
1.299999967159238E+002	1.4992813E+000	9.743836362075804E+000
1.309999966906616E+002	1.4991859E+000	9.843555358505249E+000
1.319999966653995E+002	1.4993576E+000	9.898240231895443E+000
1.329999966401374E+002	1.4995674E+000	9.977523469543456E+000
1.339999966148753E+002	1.4993385E+000	9.677752590370176E+000
1.349999965896131E+002	1.4994529E+000	9.451851658821099E+000
1.359999965643510E+002	1.4994339E+000	9.543236723327636E+000
1.369999965390889E+002	1.4993385E+000	9.725723332595820E+000
1.379999965138268E+002	1.4994339E+000	9.799687713623030E+000
1.389999964885646E+002	1.4993957E+000	9.818957091140746E+000
1.399999964633025E+002	1.4993004E+000	9.637158642959577E+000
1.409999964380404E+002	1.4993385E+000	9.349819200706481E+000
1.419999964127783E+002	1.4994339E+000	9.469602623367308E+000
1.429999963875161E+002	1.4993767E+000	9.596439470863338E+000
1.439999963622540E+002	1.4994339E+000	9.657817271614050E+000
1.449999963369919E+002	1.4994720E+000	9.737181726264950E+000
1.459999963117298E+002	1.4993957E+000	9.680792600250243E+000
1.469999962864676E+002	1.4993576E+000	9.331314696693426E+000
1.479999962612055E+002	1.4993385E+000	9.287507635116583E+000
1.489999962359434E+002	1.4992622E+000	9.428424217224091E+000
1.499999962106813E+002	1.4993767E+000	9.585252716255187E+000
1.509999961854192E+002	1.4994148E+000	9.624744119453425E+000
1.519999961601570E+002	1.4996055E+000	9.607351669502236E+000
1.529999961348949E+002	1.4992241E+000	9.285185838699340E+000
1.539999961096328E+002	1.4993957E+000	9.193709496688840E+000
1.549999960843707E+002	1.4992622E+000	9.357458946990960E+000
1.559999960591085E+002	1.4993385E+000	9.458951309967006E+000
1.569999960338464E+002	1.4993385E+000	9.514333687591552E+000
1.579999960085843E+002	1.4994148E+000	9.612782453536987E+000
1.589999959833222E+002	1.4993767E+000	9.367561551856980E+000
1.599999959580600E+002	1.4994339E+000	9.126681261825560E+000
1.609999959327979E+002	1.4993385E+000	9.200280526351918E+000
1.619999959075358E+002	1.4993194E+000	9.365839356803860E+000
1.629999958822737E+002	1.4993767E+000	9.455978287124630E+000
1.639999958570115E+002	1.4993385E+000	9.481884053421016E+000
1.649999958317494E+002	1.4994339E+000	9.327310177421566E+000
1.659999958064873E+002	1.4992431E+000	9.042786603927611E+000
1.669999957812252E+002	1.4994148E+000	9.142752803802480E+000
1.679999957559630E+002	1.4994339E+000	9.278245178794847E+000
1.689999957307009E+002	1.4993194E+000	9.353647860908495E+000
1.699999957054388E+002	1.4993767E+000	9.427114314651490E+000
1.709999956801767E+002	1.4993957E+000	9.409334748077384E+000
1.719999956549145E+002	1.4993004E+000	9.072180405235287E+000
1.729999956296524E+002	1.4993957E+000	9.004433780670155E+000
1.739999956043903E+002	1.4994529E+000	9.130312335777262E+000
1.749999955791282E+002	1.4992431E+000	9.291831134223933E+000
1.759999955538660E+002	1.4993957E+000	9.339037562751770E+000
1.769999955286039E+002	1.4992813E+000	9.331369155883777E+000
1.779999955033418E+002	1.4993004E+000	9.032738700485229E+000
1.789999954780797E+002	1.4993957E+000	8.911026568412780E+000
1.799999954528175E+002	1.4993194E+000	9.075179462051381E+000
1.809999954275554E+002	1.4993194E+000	9.179908442687974E+000
1.819999954022933E+002	1.4993767E+000	9.232037705421433E+000
1.829999953770312E+002	1.4994529E+000	9.341853996467592E+000
1.839999953517690E+002	1.4993576E+000	9.117056234550461E+000
1.849999953265069E+002	1.4994911E+000	8.862295297622666E+000
1.859999953012448E+002	1.4993767E+000	8.923050239372230E+000
1.869999952759827E+002	1.4994720E+000	9.078235575866699E+000
1.879999952507205E+002	1.4993767E+000	9.199284858703578E+000
1.889999952254584E+002	1.4994720E+000	9.234485994529706E+000
1.899999952001963E+002	1.4994148E+000	9.108689016532878E+000
1.909999951749342E+002	1.4995292E+000	8.823322619247421E+000
1.919999951496720E+002	1.4993957E+000	8.888159955787643E+000
1.929999951244099E+002	1.4993004E+000	9.034592951202370E+000
1.939999950991478E+002	1.4993194E+000	9.108453986549364E+000
1.949999950738857E+002	1.4993385E+000	9.181200866889952E+000
1.959999950486235E+002	1.4995674E+000	9.196639086532592E+000
1.969999950233614E+002	1.4993957E+000	8.860802576446531E+000
1.979999949980993E+002	1.4993194E+000	8.774615473556509E+000
1.989999949728372E+002	1.4993767E+000	8.892978387260428E+000
1.999999949475750E+002	1.4993767E+000	9.052592547416680E+000
2.009999949223129E+002	1.4993194E+000	9.115856284904474E+000
2.019999948970508E+002	1.4993767E+000	9.122237222099303E+000
2.029999948717887E+002	1.4993385E+000	8.841908602142325E+000
2.039999948465265E+002	1.4993385E+000	8.688652642250048E+000
2.049999948212644E+002	1.4993004E+000	8.854088027572615E+000
2.059999947960023E+002	1.4993004E+000	8.962098250007614E+000
2.069999947707402E+002	1.4992622E+000	9.012798157119747E+000
2.079999947454780E+002	1.4993385E+000	9.108480817604033E+000
2.089999947202159E+002	1.4994148E+000	8.937123255538939E+000
2.099999946949538E+002	1.4991859E+000	8.677912570953367E+000
2.109999946696917E+002	1.4994720E+000	8.725184501647945E+000
2.119999946444295E+002	1.4993767E+000	8.857248021125798E+000
2.129999946191674E+002	1.4993385E+000	8.992134402465808E+000
2.139999945939053E+002	1.4993767E+000	9.036596294212341E+000
2.149999945686432E+002	1.4993194E+000	8.928765563392631E+000
2.159999945433810E+002	1.4994911E+000	8.634247903633110E+000
2.169999945181189E+002	1.4993004E+000	8.658916307830808E+000
2.179999944928568E+002	1.4994148E+000	8.814505797195423E+000
2.189999944675947E+002	1.4992813E+000	8.889629184722892E+000
2.199999944423325E+002	1.4993767E+000	8.945721541023254E+000
2.209999944170704E+002	1.4994529E+000	8.985750417900078E+000
2.219999943918083E+002	1.4993194E+000	8.668454288482657E+000
2.229999943665462E+002	1.4994148E+000	8.567037780761709E+000
2.239999943412840E+002	1.4993004E+000	8.679141195678696E+000
2.249999943160219E+002	1.4993385E+000	8.820327947807300E+000
2.259999942907598E+002	1.4993004E+000	8.909858573532105E+000
2.269999942654977E+002	1.4993576E+000	8.919070293807980E+000
2.279999942402355E+002	1.4995102E+000	8.656635438346854E+000
2.289999942149734E+002	1.4992813E+000	8.484156346321100E+000
2.299999941897113E+002	1.4994339E+000	8.648687468528742E+000
2.309999941644492E+002	1.4993957E+000	8.766434629058836E+000
2.319999941391870E+002	1.4992813E+000	8.820226352500896E+000
2.329999941139249E+002	1.4995102E+000	8.860148502540582E+000
2.339999940886628E+002	1.4993957E+000	8.687329511451708E+000
2.349999940634007E+002	1.4995674E+000	8.484338613128656E+000
2.359999940381385E+002	1.4993385E+000	8.584317399024954E+000
2.369999940128764E+002	1.4993385E+000	8.688521351242066E+000
2.379999939876143E+002	1.4993957E+000	8.755171520423886E+000
2.389999939623522E+002	1.4993767E+000	8.857188463401769E+000
2.399999939370900E+002	1.4993385E+000	8.795861600112886E+000
2.409999939118279E+002	1.4993194E+000	8.480956180763236E+000
2.419999938865658E+002	1.4993576E+000	8.453396999931329E+000
2.429999938613037E+002	1.4993385E+000	8.586114266204817E+000
2.439999938360415E+002	1.4992622E+000	8.737120280075061E+000
2.449999938107794E+002	1.4993767E+000	8.784527468872056E+000
2.459999937855173E+002	1.4994529E+000	8.768916218185417E+000
2.469999937602552E+002	1.4993957E+000	8.490065707588187E+000
2.479999937349930E+002	1.4994720E+000	8.410595161819444E+000
2.489999937097309E+002	1.4993576E+000	8.562603994941707E+000
2.499999936844688E+002	1.4994148E+000	8.653219090461732E+000
2.509999936592067E+002	1.4993004E+000	8.705340748214695E+000
2.519999936339445E+002	1.4993004E+000	8.802948702239974E+000
2.529999936086824E+002	1.4996055E+000	8.568547862052924E+000
2.539999935834203E+002	1.4993767E+000	8.357715368843074E+000
2.549999935581582E+002	1.4994339E+000	8.426829559898366E+000
2.559999935328960E+002	1.4994339E+000	8.567541441535923E+000
2.569999935076339E+002	1.4993767E+000	8.687508592414854E+000
2.579999934823718E+002	1.4996055E+000	8.733783961486807E+000
2.589999934571097E+002	1.4993576E+000	8.562337643432613E+000
2.599999934318475E+002	1.4995483E+000	8.299349983024584E+000
2.609999934065854E+002	1.4994339E+000	8.377992990303028E+000
2.619999933813233E+002	1.4994911E+000	8.525156365203827E+000
2.629999933560612E+002	1.4995483E+000	8.595566154861416E+000
2.639999933307990E+002	1.4994339E+000	8.655651377868622E+000
2.649999933055369E+002	1.4993004E+000	8.597392832565305E+000
2.659999932802748E+002	1.4994911E+000	8.322708829116806E+000
2.669999932550127E+002	1.4994148E+000	8.368730329513554E+000
2.679999932297505E+002	1.4993194E+000	8.469262371444671E+000
2.689999932044884E+002	1.4992431E+000	8.546045261383057E+000
2.699999931792263E+002	1.4993957E+000	8.617354513740523E+000
2.709999931539642E+002	1.4993957E+000	8.672062529182426E+000
2.719999931287020E+002	1.4995102E+000	8.387609136009218E+000
2.729999931034399E+002	1.4992813E+000	8.250474349212624E+000
2.739999930781778E+002	1.4993957E+000	8.343823335075378E+000
2.749999930529157E+002	1.4992813E+000	8.509851243400576E+000
2.759999930276535E+002	1.4995292E+000	8.589342945861816E+000
2.769999930023914E+002	1.4993767E+000	8.615367013168331E+000
2.779999929771293E+002	1.4993004E+000	8.389701618385317E+000
2.789999929518672E+002	1.4994529E+000	8.198332190322844E+000
2.799999929266050E+002	1.4993004E+000	8.335411300277698E+000
2.809999929013429E+002	1.4993004E+000	8.447814011383056E+000
2.819999928760808E+002	1.4993957E+000	8.508096496963503E+000
2.829999928508187E+002	1.4993767E+000	8.597360286140429E+000
2.839999928255565E+002	1.4993957E+000	8.497250435066221E+000
2.849999928002944E+002	1.4994148E+000	8.218979860877988E+000
2.859999927750323E+002	1.4992050E+000	8.223678541946409E+000
2.869999927497702E+002	1.4994339E+000	8.337735464286794E+000
2.879999927245080E+002	1.4993576E+000	8.490781697654725E+000
2.889999926992459E+002	1.4995292E+000	8.554499416923520E+000
2.899999926739838E+002	1.4993385E+000	8.489448718833913E+000
2.909999926487217E+002	1.4993194E+000	8.197530162620524E+000
2.919999926234595E+002	1.4993194E+000	8.159522272872906E+000
2.929999925981974E+002	1.4992622E+000	8.328410330390923E+000
2.939999925729353E+002	1.4992622E+000	8.415514786148066E+000
2.949999925476732E+002	1.4992813E+000	8.460305519485445E+000
2.959999925224110E+002	1.4993004E+000	8.463685770988462E+000
2.969999924971489E+002	1.4993767E+000	8.199999688148495E+000
2.979999924718868E+002	1.4993194E+000	8.139182752990706E+000
2.989999924466247E+002	1.4993957E+000	8.247725823974577E+000
2.999999924213625E+002	1.4993767E+000	8.337422725486732E+000
3.009999923961004E+002	1.4992241E+000	8.396033917617785E+000
3.019999923708383E+002	1.4994720E+000	8.506808995819085E+000
3.029999923455762E+002	1.4993004E+000	8.313364130210871E+000
3.039999923203141E+002	1.4993767E+000	8.084130089187624E+000
3.049999922950519E+002	1.4992622E+000	8.131415202140801E+000
3.059999922697898E+002	1.4994339E+000	8.271408305168137E+000
3.069999922445277E+002	1.4992431E+000	8.389359745025615E+000
3.079999922192656E+002	1.4992813E+000	8.437096814537043E+000
3.089999921940034E+002	1.4993957E+000	8.323400703239429E+000
3.099999921687413E+002	1.4993576E+000	8.065395083236695E+000
3.109999921434792E+002	1.4993957E+000	8.107916729354855E+000
3.119999921182171E+002	1.4993385E+000	8.246961640548705E+000
3.129999920929549E+002	1.4992431E+000	8.314076677131624E+000
3.139999920676928E+002	1.4993767E+000	8.362098566627495E+000
3.149999920424307E+002	1.4994720E+000	8.330154208755488E+000
3.159999920171686E+002	1.4993385E+000	8.066651934051521E+000
3.169999919919064E+002	1.4992622E+000	8.086644534873926E+000
3.179999919666443E+002	1.4993767E+000	8.184322070312504E+000
3.189999919413822E+002	1.4993576E+000	8.266701627349853E+000
3.199999919161201E+002	1.4991859E+000	8.335488369178769E+000
3.209999918908579E+002	1.4992050E+000	8.410059849548340E+000
3.219999918655958E+002	1.4993957E+000	8.137477676677705E+000
3.229999918403337E+002	1.4995483E+000	7.973158185100559E+000
3.239999918150716E+002	1.4992813E+000	8.052913686847685E+000
3.249999917898094E+002	1.4994720E+000	8.206661451530451E+000
3.259999917645473E+002	1.4993385E+000	8.297384145164486E+000
3.269999917392852E+002	1.4993385E+000	8.331215872001646E+000
3.279999917140231E+002	1.4994148E+000	8.149507489395141E+000
3.289999916887609E+002	1.4993576E+000	7.928740375328033E+000
3.299999916634988E+002	1.4992241E+000	8.037907554721830E+000
3.309999916382367E+002	1.4992431E+000	8.166039144515992E+000
3.319999916129746E+002	1.4993767E+000	8.229175605583187E+000
3.329999915877124E+002	1.4993194E+000	8.283615907859797E+000
3.339999915624503E+002	1.4994148E+000	8.186901043701173E+000
3.349999915371882E+002	1.4994339E+000	7.944122404670708E+000
3.359999915119261E+002	1.4994148E+000	8.011767975139605E+000
3.369999914866639E+002	1.4994339E+000	8.101592380523670E+000
3.379999914614018E+002	1.4992813E+000	8.171902726936338E+000
3.389999914361397E+002	1.4993194E+000	8.254919860839834E+000
3.399999914108776E+002	1.4994148E+000	8.284696434402463E+000
3.409999913856154E+002	1.4993194E+000	7.993549150466890E+000
3.419999913603533E+002	1.4993385E+000	7.891117488098146E+000
3.429999913350912E+002	1.4994720E+000	7.995802613925918E+000
3.439999913098291E+002	1.4993767E+000	8.151805634880049E+000
3.449999912845669E+002	1.4994720E+000	8.229750736045830E+000
3.459999912593048E+002	1.4993767E+000	8.243845240402209E+000
3.469999912340427E+002	1.4994339E+000	7.993228686904899E+000
3.479999912087806E+002	1.4995292E+000	7.834076503658281E+000
3.489999911835184E+002	1.4993576E+000	7.980616440677608E+000
3.499999911582563E+002	1.4994148E+000	8.087214499092100E+000
3.509999911329942E+002	1.4992241E+000	8.147251759529098E+000
3.519999911077321E+002	1.4992431E+000	8.195950628662104E+000
3.529999910824699E+002	1.4993957E+000	8.045665936565385E+000
3.539999910572078E+002	1.4993194E+000	7.861930269241299E+000
3.549999910319457E+002	1.4992431E+000	7.946276954936977E+000
3.559999910066836E+002	1.4993767E+000	8.037656017398817E+000
3.569999909814214E+002	1.4991478E+000	8.103049180984499E+000
3.579999909561593E+002	1.4993767E+000	8.197496298599241E+000
3.589999909308972E+002	1.4993194E+000	8.145610020256029E+000
3.599999909056351E+002	1.4993957E+000	7.860225933265681E+000
3.609999908803729E+002	1.4994529E+000	7.820389001369463E+000
3.619999908551108E+002	1.4993576E+000	7.923038328933700E+000
3.629999908298487E+002	1.4993194E+000	8.077526811313632E+000
3.639999908045866E+002	1.4994339E+000	8.133709076881402E+000
3.649999907793244E+002	1.4992431E+000	8.114425878906232E+000
3.659999907540623E+002	1.4994148E+000	7.859462161159513E+000
3.669999907288002E+002	1.4992813E+000	7.775742207908621E+000
3.679999907035381E+002	1.4993385E+000	7.930164378547666E+000
3.689999906782759E+002	1.4992622E+000	8.019610628509511E+000
3.699999906530138E+002	1.4992813E+000	8.068765980148299E+000
3.709999906277517E+002	1.4994339E+000	8.100182443809508E+000
3.719999906024896E+002	1.4992813E+000	7.887268319511406E+000
3.729999905772274E+002	1.4993194E+000	7.776380876445771E+000
3.739999905519653E+002	1.4992050E+000	7.869893853759748E+000
3.749999905267032E+002	1.4994720E+000	7.961254006957972E+000
3.759999905014411E+002	1.4993385E+000	8.023761578369133E+000
3.769999904761789E+002	1.4994339E+000	8.136695164489737E+000
3.779999904509168E+002	1.4993576E+000	7.997076361560801E+000
3.789999904256547E+002	1.4992241E+000	7.741412340259558E+000
3.799999904003926E+002	1.4993004E+000	7.754484193515776E+000
3.809999903751304E+002	1.4994720E+000	7.877036788558939E+000
