time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4994142E+000	2.631412342434023E+002
1.999999949475750E+000	1.4996812E+000	1.120594601196285E+002
2.999999924213625E+000	1.4993570E+000	7.369007616348267E+001
3.999999898951501E+000	1.4994714E+000	5.478199499664311E+001
4.999999873689376E+000	1.4995859E+000	4.257738049894851E+001
5.999999848427251E+000	1.4995859E+000	3.535866674652095E+001
6.999999823165126E+000	1.4995096E+000	2.996917490882868E+001
7.999999797903001E+000	1.4996812E+000	2.603149437599181E+001
8.999999772640876E+000	1.4996240E+000	2.306686716423036E+001
9.999999747378752E+000	1.4995477E+000	2.074322822151186E+001
1.099999972211663E+001	1.4994524E+000	1.889217891845703E+001
1.199999969685450E+001	1.4995859E+000	1.741187982597347E+001
1.299999967159238E+001	1.4994714E+000	1.619918271884917E+001
1.399999964633025E+001	1.4994714E+000	1.519093837718961E+001
1.499999962106813E+001	1.4996240E+000	1.434835301723479E+001
1.599999959580600E+001	1.4993951E+000	1.363021723937982E+001
1.699999957054388E+001	1.4995286E+000	1.300815417251584E+001
1.799999954528175E+001	1.4995096E+000	1.248357882251739E+001
1.899999952001963E+001	1.4995096E+000	1.203056603698730E+001
1.999999949475750E+001	1.4993951E+000	1.163465688800812E+001
2.099999946949538E+001	1.4994524E+000	1.128245661926269E+001
2.199999944423325E+001	1.4996240E+000	1.096889749279021E+001
2.299999941897113E+001	1.4995286E+000	1.067758166809082E+001
2.399999939370900E+001	1.4994524E+000	1.042369586334226E+001
2.499999936844688E+001	1.4993570E+000	1.019856935863494E+001
2.599999934318475E+001	1.4995668E+000	9.994177070426929E+000
2.699999931792263E+001	1.4995096E+000	9.807651864433268E+000
2.799999929266050E+001	1.4994524E+000	9.638735106468175E+000
2.899999926739838E+001	1.4996622E+000	9.467785025978074E+000
2.999999924213625E+001	1.4994524E+000	9.315928376579286E+000
3.099999921687413E+001	1.4995477E+000	9.181901815605166E+000
3.199999919161201E+001	1.4995859E+000	9.058211528396598E+000
3.299999916634988E+001	1.4996240E+000	8.941538829612730E+000
3.399999914108776E+001	1.4995668E+000	8.835595194625853E+000
3.499999911582563E+001	1.4995668E+000	8.728149315261838E+000
3.599999909056351E+001	1.4996240E+000	8.625486622238128E+000
3.699999906530138E+001	1.4995286E+000	8.537782031249975E+000
3.799999904003926E+001	1.4996240E+000	8.455999277496339E+000
3.899999901477713E+001	1.4994905E+000	8.378323690605157E+000
3.999999898951501E+001	1.4995668E+000	8.307950584411628E+000
4.099999896425288E+001	1.4997575E+000	8.235817599296553E+000
4.199999893899076E+001	1.4994905E+000	8.159666044044494E+000
4.299999891372863E+001	1.4994905E+000	8.096742253303518E+000
4.399999888846651E+001	1.4994142E+000	8.038037282466888E+000
4.499999886320438E+001	1.4995859E+000	7.982292503070823E+000
4.599999883794226E+001	1.4995859E+000	7.930263420772519E+000
4.699999881268013E+001	1.4995286E+000	7.879579331970206E+000
4.799999878741801E+001	1.4995477E+000	7.821329016208637E+000
4.899999876215588E+001	1.4994714E+000	7.773164887237556E+000
4.999999873689376E+001	1.4995096E+000	7.730791816329941E+000
5.099999871163163E+001	1.4995859E+000	7.690004681491843E+000
5.199999868636951E+001	1.4996812E+000	7.651470033454871E+000
5.299999866110738E+001	1.4995668E+000	7.614302550220486E+000
5.399999863584526E+001	1.4995477E+000	7.568111728382107E+000
5.499999861058313E+001	1.4994905E+000	7.527195709228494E+000
5.599999858532101E+001	1.4994333E+000	7.494026395511611E+000
5.699999856005888E+001	1.4996240E+000	7.462643247795100E+000
5.799999853479676E+001	1.4996049E+000	7.432286466312391E+000
5.899999850953463E+001	1.4995859E+000	7.404343265628810E+000
5.999999848427251E+001	1.4995477E+000	7.369013875770577E+000
6.099999845901039E+001	1.4995096E+000	7.332961009788512E+000
6.199999843374826E+001	1.4993761E+000	7.306593563079829E+000
6.299999840848614E+001	1.4993761E+000	7.279928419208517E+000
6.399999838322401E+001	1.4996240E+000	7.255823432254786E+000
6.499999835796189E+001	1.4995668E+000	7.234231311321253E+000
6.599999833269976E+001	1.4994524E+000	7.207438136291501E+000
6.699999830743764E+001	1.4995096E+000	7.174240213680264E+000
6.799999828217551E+001	1.4995668E+000	7.152899648094177E+000
6.899999825691339E+001	1.4995668E+000	7.133733045101167E+000
6.999999823165126E+001	1.4995859E+000	7.114483982372278E+000
7.099999820638914E+001	1.4995286E+000	7.098639221096022E+000
7.199999818112701E+001	1.4996431E+000	7.079567501354212E+000
7.299999815586489E+001	1.4995859E+000	7.050775854682911E+000
7.399999813060276E+001	1.4994524E+000	7.031741411018373E+000
7.499999810534064E+001	1.4994905E+000	7.017596596908533E+000
7.599999808007851E+001	1.4996049E+000	7.002300975990295E+000
7.699999805481639E+001	1.4996622E+000	6.989121768760668E+000
