time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4995096E+000	3.433832086095270E+002
1.999999949475750E+000	1.4996240E+000	1.999331197509765E+002
2.999999924213625E+000	1.4994905E+000	1.475772645385741E+002
3.999999898951501E+000	1.4995286E+000	1.196276319824219E+002
4.999999873689376E+000	1.4994905E+000	1.020936289321899E+002
5.999999848427251E+000	1.4995286E+000	8.985555274658202E+001
6.999999823165126E+000	1.4994905E+000	8.067723179931636E+001
7.999999797903001E+000	1.4993951E+000	7.345567553863498E+001
8.999999772640876E+000	1.4995286E+000	6.759522373504626E+001
9.999999747378752E+000	1.4994333E+000	6.262604230575556E+001
1.099999972211663E+001	1.4995477E+000	5.838839098663323E+001
1.199999969685450E+001	1.4994524E+000	5.474249401702878E+001
1.299999967159238E+001	1.4995477E+000	5.154405504379270E+001
1.399999964633025E+001	1.4994142E+000	4.759799744008637E+001
1.499999962106813E+001	1.4993951E+000	4.604551621017453E+001
1.599999959580600E+001	1.4996431E+000	4.377970818786622E+001
1.699999957054388E+001	1.4994905E+000	4.171487085952757E+001
1.799999954528175E+001	1.4995096E+000	3.987066937026975E+001
1.899999952001963E+001	1.4993570E+000	3.819169303054804E+001
1.999999949475750E+001	1.4994142E+000	3.666655998916622E+001
2.099999946949538E+001	1.4994905E+000	3.529050888900753E+001
2.199999944423325E+001	1.4995859E+000	3.401131427078246E+001
2.299999941897113E+001	1.4994333E+000	3.279617755661008E+001
2.399999939370900E+001	1.4995477E+000	3.171004824409485E+001
2.499999936844688E+001	1.4993379E+000	3.070308943939204E+001
2.599999934318475E+001	1.4995668E+000	2.976063355026245E+001
2.699999931792263E+001	1.4995668E+000	2.890967532005308E+001
2.799999929266050E+001	1.4995477E+000	2.812655322608941E+001
2.899999926739838E+001	1.4994905E+000	2.735272138519281E+001
2.999999924213625E+001	1.4995477E+000	2.665315833778381E+001
3.099999921687413E+001	1.4995668E+000	2.599512361526484E+001
3.199999919161201E+001	1.4995096E+000	2.538644381599426E+001
3.299999916634988E+001	1.4995096E+000	2.482645977020264E+001
3.399999914108776E+001	1.4995096E+000	2.431850303344720E+001
3.499999911582563E+001	1.4995477E+000	2.380569415283202E+001
3.599999909056351E+001	1.4996049E+000	2.332752344665528E+001
3.699999906530138E+001	1.4995477E+000	2.289151772689819E+001
3.799999904003926E+001	1.4995286E+000	2.247610222625730E+001
3.899999901477713E+001	1.4994333E+000	2.209637313842768E+001
3.999999898951501E+001	1.4995096E+000	2.175154073715208E+001
4.099999896425288E+001	1.4994714E+000	2.140227915992736E+001
4.199999893899076E+001	1.4995286E+000	2.106270917167660E+001
4.299999891372863E+001	1.4994142E+000	2.075726568908686E+001
4.399999888846651E+001	1.4995096E+000	2.047067839698791E+001
4.499999886320438E+001	1.4995859E+000	2.020355194892883E+001
4.599999883794226E+001	1.4994524E+000	1.996239510154723E+001
4.699999881268013E+001	1.4996431E+000	1.973396512641905E+001
4.799999878741801E+001	1.4994524E+000	1.949090981216429E+001
4.899999876215588E+001	1.4996240E+000	1.927235975189209E+001
4.999999873689376E+001	1.4994524E+000	1.906494636955262E+001
5.099999871163163E+001	1.4996049E+000	1.886837899780272E+001
5.199999868636951E+001	1.4994714E+000	1.869370985641478E+001
5.299999866110738E+001	1.4993570E+000	1.853550012702937E+001
5.399999863584526E+001	1.4995096E+000	1.835626413002014E+001
5.499999861058313E+001	1.4994524E+000	1.819117469787597E+001
5.599999858532101E+001	1.4994524E+000	1.804832849464416E+001
5.699999856005888E+001	1.4995096E+000	1.790830535659791E+001
5.799999853479676E+001	1.4992998E+000	1.778068562393187E+001
5.899999850953463E+001	1.4994524E+000	1.766652941589354E+001
5.999999848427251E+001	1.4996049E+000	1.754002042846676E+001
6.099999845901039E+001	1.4996049E+000	1.741959557456970E+001
6.199999843374826E+001	1.4995286E+000	1.731304102859497E+001
6.299999840848614E+001	1.4994905E+000	1.720760173797606E+001
6.399999838322401E+001	1.4994714E+000	1.711457895660396E+001
6.499999835796189E+001	1.4994714E+000	1.703647987213134E+001
6.599999833269976E+001	1.4994142E+000	1.695080770111083E+001
6.699999830743764E+001	1.4994905E+000	1.685845312309266E+001
6.799999828217551E+001	1.4994714E+000	1.677970829696653E+001
6.899999825691339E+001	1.4995477E+000	1.670385863113404E+001
6.999999823165126E+001	1.4995286E+000	1.663348616867063E+001
7.099999820638914E+001	1.4995286E+000	1.657638695144652E+001
7.199999818112701E+001	1.4996431E+000	1.651896273880004E+001
7.299999815586489E+001	1.4994333E+000	1.644384054870602E+001
7.399999813060276E+001	1.4994905E+000	1.638415296821594E+001
7.499999810534064E+001	1.4996049E+000	1.633313061828608E+001
7.599999808007851E+001	1.4995477E+000	1.627854227371211E+001
7.699999805481639E+001	1.4994905E+000	1.623118659782403E+001
7.799999802955426E+001	1.4995668E+000	1.619194354972836E+001
7.899999800429214E+001	1.4994524E+000	1.613869687881468E+001
7.999999797903001E+001	1.4995286E+000	1.609030796127314E+001
8.099999795376789E+001	1.4994524E+000	1.605128491020201E+001
8.199999792850576E+001	1.4996240E+000	1.601313373584748E+001
8.299999790324364E+001	1.4993951E+000	1.597986599273682E+001
8.399999787798151E+001	1.4995477E+000	1.595736523456573E+001
8.499999785271939E+001	1.4995668E+000	1.591536835899350E+001
8.599999782745726E+001	1.4995859E+000	1.587785188083649E+001
