time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4992902E+000	1.690712426834808E+002
1.999999949475750E+000	1.4992902E+000	1.018212366882324E+002
2.999999924213625E+000	1.4991376E+000	8.102293541259758E+001
3.999999898951501E+000	1.4991758E+000	6.992321073913570E+001
4.999999873689376E+000	1.4992902E+000	6.261913882446288E+001
5.999999848427251E+000	1.4993474E+000	5.729574462203982E+001
6.999999823165126E+000	1.4992902E+000	5.313511412887578E+001
7.999999797903001E+000	1.4993665E+000	4.977661862411497E+001
8.999999772640876E+000	1.4992902E+000	4.667791959533076E+001
9.999999747378752E+000	1.4992902E+000	4.445306763000488E+001
1.099999972211663E+001	1.4993093E+000	4.242259945755004E+001
1.199999969685450E+001	1.4992712E+000	4.061702718429565E+001
1.299999967159238E+001	1.4994047E+000	3.900503874511719E+001
1.399999964633025E+001	1.4993474E+000	3.750393668823242E+001
1.499999962106813E+001	1.4992521E+000	3.614503507766722E+001
1.599999959580600E+001	1.4995382E+000	3.491376034317017E+001
1.699999957054388E+001	1.4993474E+000	3.373222255020141E+001
1.799999954528175E+001	1.4991376E+000	3.265787045974730E+001
1.899999952001963E+001	1.4992139E+000	3.170022519760130E+001
1.999999949475750E+001	1.4993093E+000	3.082764897804253E+001
2.099999946949538E+001	1.4993284E+000	2.999171185226430E+001
2.199999944423325E+001	1.4993284E+000	2.920146825752261E+001
2.299999941897113E+001	1.4993856E+000	2.846292307395935E+001
2.399999939370900E+001	1.4992902E+000	2.775772758445737E+001
2.499999936844688E+001	1.4992712E+000	2.708903378906246E+001
2.599999934318475E+001	1.4991949E+000	2.651419024200425E+001
2.699999931792263E+001	1.4991949E+000	2.593501442947388E+001
2.799999929266050E+001	1.4992902E+000	2.537929099731446E+001
2.899999926739838E+001	1.4992521E+000	2.484052135238642E+001
2.999999924213625E+001	1.4991376E+000	2.431093220863342E+001
3.099999921687413E+001	1.4991186E+000	2.383864609756469E+001
3.199999919161201E+001	1.4993093E+000	2.339900079803465E+001
3.299999916634988E+001	1.4992139E+000	2.298371312484741E+001
3.399999914108776E+001	1.4991758E+000	2.256002770805358E+001
3.499999911582563E+001	1.4993093E+000	2.214961470909117E+001
3.599999909056351E+001	1.4993093E+000	2.178250137100218E+001
3.699999906530138E+001	1.4992902E+000	2.139560334281920E+001
3.799999904003926E+001	1.4991949E+000	2.104640587348938E+001
3.899999901477713E+001	1.4991949E+000	2.070393871917724E+001
3.999999898951501E+001	1.4992712E+000	2.035736591415406E+001
4.099999896425288E+001	1.4992902E+000	2.002562952041623E+001
4.199999893899076E+001	1.4993284E+000	1.970584167366025E+001
4.299999891372863E+001	1.4992330E+000	1.937507254867553E+001
4.399999888846651E+001	1.4994237E+000	1.906223670578003E+001
4.499999886320438E+001	1.4993284E+000	1.879257314910888E+001
4.599999883794226E+001	1.4993284E+000	1.850431654930114E+001
4.699999881268013E+001	1.4992139E+000	1.821744666671754E+001
4.799999878741801E+001	1.4993474E+000	1.794942692642209E+001
4.899999876215588E+001	1.4992139E+000	1.767934494209283E+001
4.999999873689376E+001	1.4993284E+000	1.741737775764463E+001
5.099999871163163E+001	1.4992139E+000	1.717897580108641E+001
5.199999868636951E+001	1.4994619E+000	1.693491765556334E+001
5.299999866110738E+001	1.4994237E+000	1.669681377983092E+001
5.399999863584526E+001	1.4990995E+000	1.645965828552244E+001
5.499999861058313E+001	1.4992521E+000	1.622436349067686E+001
5.599999858532101E+001	1.4993284E+000	1.598301359291074E+001
5.699999856005888E+001	1.4992330E+000	1.577842448005676E+001
5.799999853479676E+001	1.4993093E+000	1.557141809024807E+001
5.899999850953463E+001	1.4991949E+000	1.536188722858429E+001
5.999999848427251E+001	1.4993665E+000	1.515343315639495E+001
6.099999845901039E+001	1.4994810E+000	1.495162391357422E+001
6.199999843374826E+001	1.4994237E+000	1.474196894531249E+001
6.299999840848614E+001	1.4994810E+000	1.456558330726623E+001
6.399999838322401E+001	1.4992712E+000	1.439479789905545E+001
6.499999835796189E+001	1.4992712E+000	1.421202062263487E+001
6.599999833269976E+001	1.4991186E+000	1.403494999561309E+001
6.699999830743764E+001	1.4993474E+000	1.386697361564634E+001
6.799999828217551E+001	1.4993474E+000	1.368631917591095E+001
6.899999825691339E+001	1.4991376E+000	1.351527050933839E+001
6.999999823165126E+001	1.4992521E+000	1.336392060089111E+001
7.099999820638914E+001	1.4992521E+000	1.321025403156278E+001
7.199999818112701E+001	1.4992330E+000	1.305813610763549E+001
7.299999815586489E+001	1.4994428E+000	1.290702599678039E+001
7.399999813060276E+001	1.4992521E+000	1.275500663166046E+001
7.499999810534064E+001	1.4991376E+000	1.260341838130951E+001
7.599999808007851E+001	1.4992521E+000	1.248658829307556E+001
7.699999805481639E+001	1.4994047E+000	1.236038033409118E+001
7.799999802955426E+001	1.4993665E+000	1.222587321128844E+001
7.899999800429214E+001	1.4994237E+000	1.209908875808716E+001
7.999999797903001E+001	1.4995000E+000	1.196915242938995E+001
8.099999795376789E+001	1.4993665E+000	1.183230597553253E+001
8.199999792850576E+001	1.4993856E+000	1.172696120204925E+001
8.299999790324364E+001	1.4993284E+000	1.162126198635099E+001
8.399999787798151E+001	1.4993093E+000	1.150801866359710E+001
8.499999785271939E+001	1.4994047E+000	1.139582430477142E+001
8.599999782745726E+001	1.4991758E+000	1.128901081104279E+001
8.699999780219514E+001	1.4993856E+000	1.116467217559813E+001
8.799999777693301E+001	1.4992139E+000	1.106805233936310E+001
8.899999775167089E+001	1.4993665E+000	1.097947597675324E+001
8.999999772640876E+001	1.4994810E+000	1.087897234115599E+001
9.099999770114664E+001	1.4993284E+000	1.077799509487152E+001
9.199999767588452E+001	1.4991758E+000	1.068356136722564E+001
9.299999765062239E+001	1.4991949E+000	1.057057159233094E+001
9.399999762536027E+001	1.4994047E+000	1.047910785732269E+001
9.499999760009814E+001	1.4992521E+000	1.040075037937163E+001
9.599999757483602E+001	1.4993474E+000	1.031524178562164E+001
9.699999754957389E+001	1.4992521E+000	1.022657812042235E+001
9.799999752431177E+001	1.4991376E+000	1.014000532341002E+001
9.899999749904964E+001	1.4992139E+000	1.004602628593445E+001
9.999999747378752E+001	1.4993474E+000	9.953342278671258E+000
1.009999974485254E+002	1.4993856E+000	9.886919339942921E+000
1.019999974232633E+002	1.4993284E+000	9.813772822380059E+000
1.029999973980011E+002	1.4994428E+000	9.735367076873757E+000
1.039999973727390E+002	1.4991758E+000	9.656556798934929E+000
1.049999973474769E+002	1.4992330E+000	9.577367208099332E+000
1.059999973222148E+002	1.4993665E+000	9.486941903877266E+000
1.069999972969526E+002	1.4993093E+000	9.426749467658979E+000
1.079999972716905E+002	1.4994810E+000	9.362728824615459E+000
1.089999972464284E+002	1.4993284E+000	9.294541650199875E+000
1.099999972211663E+002	1.4992712E+000	9.221984101486200E+000
1.109999971959041E+002	1.4991567E+000	9.153922800636295E+000
1.119999971706420E+002	1.4992521E+000	9.068936676597559E+000
1.129999971453799E+002	1.4992712E+000	9.009715227508536E+000
1.139999971201178E+002	1.4993665E+000	8.956721606063809E+000
1.149999970948556E+002	1.4992712E+000	8.894676113891599E+000
1.159999970695935E+002	1.4992712E+000	8.830944430160486E+000
1.169999970443314E+002	1.4994047E+000	8.769785218429547E+000
1.179999970190693E+002	1.4991949E+000	8.694535889053327E+000
1.189999969938071E+002	1.4993093E+000	8.632987256813038E+000
1.199999969685450E+002	1.4994619E+000	8.590773404502869E+000
1.209999969432829E+002	1.4992330E+000	8.537875427818278E+000
