time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	4.9919680E-001	2.804618830280134E+001
1.999999949475750E+000	4.9915865E-001	1.454755434856412E+001
2.999999924213625E+000	4.9921587E-001	1.096350488376617E+001
3.999999898951501E+000	4.9917772E-001	9.098102428054801E+000
4.999999873689376E+000	4.9923494E-001	7.895689424610133E+000
5.999999848427251E+000	4.9927309E-001	7.034772124099732E+000
6.999999823165126E+000	4.9938753E-001	6.376236855506896E+000
7.999999797903001E+000	4.9917772E-001	5.850935596561428E+000
8.999999772640876E+000	4.9915865E-001	5.422015807247149E+000
9.999999747378752E+000	4.9929217E-001	5.061199231147764E+000
1.099999972211663E+001	4.9931124E-001	4.692950376800297E+000
1.199999969685450E+001	4.9915865E-001	4.467939540100090E+000
1.299999967159238E+001	4.9925402E-001	4.236938130760180E+000
1.399999964633025E+001	4.9913958E-001	4.032741735744466E+000
1.499999962106813E+001	4.9938753E-001	3.851613415145870E+000
1.599999959580600E+001	4.9904421E-001	3.689140847826000E+000
1.699999957054388E+001	4.9917772E-001	3.542686871957777E+000
1.799999954528175E+001	4.9908236E-001	3.410007594108578E+000
1.899999952001963E+001	4.9927309E-001	3.288931196975710E+000
1.999999949475750E+001	4.9913958E-001	3.177777732419965E+000
2.099999946949538E+001	4.9912050E-001	3.075904618835448E+000
2.199999944423325E+001	4.9919680E-001	2.981635995626448E+000
2.299999941897113E+001	4.9923494E-001	2.894531571817396E+000
2.399999939370900E+001	4.9934939E-001	2.813797751569744E+000
2.499999936844688E+001	4.9908236E-001	2.738659878826139E+000
2.599999934318475E+001	4.9912050E-001	2.668221545028679E+000
2.699999931792263E+001	4.9921587E-001	2.602129467201232E+000
2.799999929266050E+001	4.9923494E-001	2.540503359937659E+000
2.899999926739838E+001	4.9938753E-001	2.482439062786101E+000
2.999999924213625E+001	4.9908236E-001	2.427920116996765E+000
3.099999921687413E+001	4.9927309E-001	2.376547309398651E+000
3.199999919161201E+001	4.9910143E-001	2.327777799177170E+000
3.299999916634988E+001	4.9908236E-001	2.281416917419433E+000
3.399999914108776E+001	4.9927309E-001	2.237687171506877E+000
3.499999911582563E+001	4.9925402E-001	2.196016812562942E+000
3.599999909056351E+001	4.9906328E-001	2.156484415149684E+000
3.699999906530138E+001	4.9908236E-001	2.119062483644477E+000
3.799999904003926E+001	4.9915865E-001	2.083003942632676E+000
3.899999901477713E+001	4.9915865E-001	2.048451884984969E+000
3.999999898951501E+001	4.9908236E-001	2.015638677978508E+000
4.099999896425288E+001	4.9900606E-001	1.984204243922228E+000
4.199999893899076E+001	4.9931124E-001	1.954046779561040E+000
4.299999891372863E+001	4.9917772E-001	1.925313655972481E+000
4.399999888846651E+001	4.9927309E-001	1.897538893580437E+000
4.499999886320438E+001	4.9915865E-001	1.870746155786513E+000
4.599999883794226E+001	4.9910143E-001	1.844932067227363E+000
4.699999881268013E+001	4.9938753E-001	1.820306193423271E+000
4.799999878741801E+001	4.9912050E-001	1.796421402525902E+000
4.899999876215588E+001	4.9910143E-001	1.773582317447662E+000
4.999999873689376E+001	4.9915865E-001	1.751558075571060E+000
5.099999871163163E+001	4.9940661E-001	1.730052289128299E+000
5.199999868636951E+001	4.9931124E-001	1.709313372278213E+000
5.299999866110738E+001	4.9938753E-001	1.689495956182476E+000
5.399999863584526E+001	4.9919680E-001	1.670189345812798E+000
5.499999861058313E+001	4.9936846E-001	1.651647009706494E+000
5.599999858532101E+001	4.9919680E-001	1.633609890890122E+000
5.699999856005888E+001	4.9919680E-001	1.615873095107079E+000
5.799999853479676E+001	4.9925402E-001	1.598762175869940E+000
5.899999850953463E+001	4.9929217E-001	1.582270138621330E+000
5.999999848427251E+001	4.9921587E-001	1.566351671433447E+000
6.099999845901039E+001	4.9940661E-001	1.550855563712116E+000
6.199999843374826E+001	4.9927309E-001	1.535904562330245E+000
6.299999840848614E+001	4.9933031E-001	1.520965364623068E+000
6.399999838322401E+001	4.9934939E-001	1.506532667732239E+000
6.499999835796189E+001	4.9927309E-001	1.492684580469131E+000
6.599999833269976E+001	4.9931124E-001	1.479272150635717E+000
6.699999830743764E+001	4.9917772E-001	1.466071293282507E+000
6.799999828217551E+001	4.9917772E-001	1.453455430698394E+000
6.899999825691339E+001	4.9921587E-001	1.440852438330648E+000
6.999999823165126E+001	4.9923494E-001	1.428462696218489E+000
7.099999820638914E+001	4.9940661E-001	1.416531232380866E+000
7.199999818112701E+001	4.9906328E-001	1.405068174242972E+000
7.299999815586489E+001	4.9908236E-001	1.393762204813957E+000
7.399999813060276E+001	4.9952108E-001	1.382838729715347E+000
7.499999810534064E+001	4.9910143E-001	1.372079180335994E+000
7.599999808007851E+001	4.9936846E-001	1.361373342347143E+000
7.699999805481639E+001	4.9919680E-001	1.351081138992309E+000
7.799999802955426E+001	4.9908236E-001	1.341104703879356E+000
7.899999800429214E+001	4.9938753E-001	1.331284831953049E+000
7.999999797903001E+001	4.9919680E-001	1.321773065900802E+000
8.099999795376789E+001	4.9913958E-001	1.312454064798356E+000
8.199999792850576E+001	4.9917772E-001	1.303077769017218E+000
8.299999790324364E+001	4.9927309E-001	1.294005139684677E+000
8.399999787798151E+001	4.9910143E-001	1.285257602024076E+000
8.499999785271939E+001	4.9923494E-001	1.276770904183387E+000
8.599999782745726E+001	4.9921587E-001	1.268333298134804E+000
8.699999780219514E+001	4.9917772E-001	1.260272145605087E+000
8.799999777693301E+001	4.9912050E-001	1.251973347282409E+000
8.899999775167089E+001	4.9915865E-001	1.243982663917541E+000
8.999999772640876E+001	4.9912050E-001	1.236140019583702E+000
9.099999770114664E+001	4.9912050E-001	1.228634679460523E+000
9.199999767588452E+001	4.9931124E-001	1.221193444633483E+000
9.299999765062239E+001	4.9921587E-001	1.214064991617200E+000
9.399999762536027E+001	4.9927309E-001	1.206718309092521E+000
9.499999760009814E+001	4.9925402E-001	1.199481011843681E+000
9.599999757483602E+001	4.9912050E-001	1.192534574842452E+000
9.699999754957389E+001	4.9944475E-001	1.185855510115623E+000
9.799999752431177E+001	4.9921587E-001	1.179213495016098E+000
9.899999749904964E+001	4.9927309E-001	1.172823977971078E+000
9.999999747378752E+001	4.9917772E-001	1.166401612305641E+000
1.009999974485254E+002	4.9936846E-001	1.159886147665976E+000
1.019999974232633E+002	4.9913958E-001	1.153600339293479E+000
1.029999973980011E+002	4.9929217E-001	1.147570698475835E+000
1.039999973727390E+002	4.9904421E-001	1.141652080512047E+000
1.049999973474769E+002	4.9913958E-001	1.135754750156401E+000
1.059999973222148E+002	4.9925402E-001	1.130080899786947E+000
1.069999972969526E+002	4.9925402E-001	1.124181998610496E+000
1.079999972716905E+002	4.9938753E-001	1.118599296236038E+000
1.089999972464284E+002	4.9933031E-001	1.113113872814179E+000
1.099999972211663E+002	4.9921587E-001	1.107841332292555E+000
1.109999971959041E+002	4.9915865E-001	1.102496538066863E+000
1.119999971706420E+002	4.9940661E-001	1.097387816238403E+000
1.129999971453799E+002	4.9915865E-001	1.092002969717980E+000
