time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4991080E+000	1.562163211738857E+002
1.999999949475750E+000	1.4994322E+000	7.648595433578491E+001
2.999999924213625E+000	1.4993750E+000	4.676381701579136E+001
3.999999898951501E+000	1.4991652E+000	4.161355935974120E+001
4.999999873689376E+000	1.4992605E+000	3.485530502624511E+001
5.999999848427251E+000	1.4992415E+000	3.019045585174547E+001
6.999999823165126E+000	1.4994894E+000	2.674453592758175E+001
7.999999797903001E+000	1.4991843E+000	2.408815624999994E+001
8.999999772640876E+000	1.4995657E+000	2.181732988014218E+001
9.999999747378752E+000	1.4992224E+000	1.992028210296630E+001
1.099999972211663E+001	1.4991843E+000	1.834207727050781E+001
1.199999969685450E+001	1.4994131E+000	1.699957990875245E+001
1.299999967159238E+001	1.4992605E+000	1.584646537322999E+001
1.399999964633025E+001	1.4994322E+000	1.488229276752472E+001
1.499999962106813E+001	1.4992605E+000	1.399176483592987E+001
1.599999959580600E+001	1.4989935E+000	1.319398505992889E+001
1.699999957054388E+001	1.4996420E+000	1.250282567653656E+001
1.799999954528175E+001	1.4992224E+000	1.189474417438504E+001
1.899999952001963E+001	1.4992796E+000	1.136101596832276E+001
1.999999949475750E+001	1.4994322E+000	1.089960270729064E+001
2.099999946949538E+001	1.4989744E+000	1.047818111228942E+001
2.199999944423325E+001	1.4996039E+000	1.008645080776213E+001
2.299999941897113E+001	1.4993559E+000	9.723465752220150E+000
2.399999939370900E+001	1.4992415E+000	9.393232242965695E+000
2.499999936844688E+001	1.4994322E+000	9.095493250656126E+000
2.599999934318475E+001	1.4993178E+000	8.822020757293686E+000
2.699999931792263E+001	1.4993178E+000	8.578311945724487E+000
2.799999929266050E+001	1.4990698E+000	8.348311462974547E+000
2.899999926739838E+001	1.4993178E+000	8.119084324169158E+000
2.999999924213625E+001	1.4992224E+000	7.909871829986571E+000
3.099999921687413E+001	1.4990889E+000	7.720164047813398E+000
3.199999919161201E+001	1.4990889E+000	7.541712229251861E+000
3.299999916634988E+001	1.4994513E+000	7.375040938758850E+000
3.399999914108776E+001	1.4992796E+000	7.228190567874904E+000
3.499999911582563E+001	1.4992796E+000	7.070012294292439E+000
3.599999909056351E+001	1.4993178E+000	6.923122379207610E+000
3.699999906530138E+001	1.4992987E+000	6.789815765094744E+000
3.799999904003926E+001	1.4991652E+000	6.661465876770023E+000
3.899999901477713E+001	1.4990507E+000	6.541915836429595E+000
