time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4994531E+000	2.998222143941821E+002
1.999999949475750E+000	1.4993386E+000	1.551766177215575E+002
2.999999924213625E+000	1.4996438E+000	1.145641192520141E+002
3.999999898951501E+000	1.4995103E+000	9.448567166748046E+001
4.999999873689376E+000	1.4995294E+000	8.117884177856433E+001
5.999999848427251E+000	1.4996057E+000	7.110709476623526E+001
6.999999823165126E+000	1.4994912E+000	6.305670332489001E+001
7.999999797903001E+000	1.4994340E+000	5.642254831161472E+001
8.999999772640876E+000	1.4996057E+000	4.791364669799805E+001
9.999999747378752E+000	1.4995484E+000	4.546394830322254E+001
1.099999972211663E+001	1.4994912E+000	4.099055616760245E+001
1.199999969685450E+001	1.4996247E+000	3.718005138931267E+001
1.299999967159238E+001	1.4995294E+000	3.412317733993524E+001
1.399999964633025E+001	1.4995866E+000	3.167735534439083E+001
1.499999962106813E+001	1.4994912E+000	2.973795493850707E+001
1.599999959580600E+001	1.4995675E+000	2.818722083625789E+001
1.699999957054388E+001	1.4995103E+000	2.692131933174119E+001
1.799999954528175E+001	1.4996819E+000	2.582293294105529E+001
1.899999952001963E+001	1.4995866E+000	2.491200027999878E+001
1.999999949475750E+001	1.4996438E+000	2.410361301727294E+001
2.099999946949538E+001	1.4996057E+000	2.333829248008726E+001
2.199999944423325E+001	1.4995103E+000	2.271558392066954E+001
2.299999941897113E+001	1.4995484E+000	2.215951725692749E+001
2.399999939370900E+001	1.4995294E+000	2.164373241462704E+001
2.499999936844688E+001	1.4995484E+000	2.118533526878356E+001
2.599999934318475E+001	1.4994721E+000	2.073781714515684E+001
2.699999931792263E+001	1.4995866E+000	2.033385439720152E+001
2.799999929266050E+001	1.4996057E+000	2.000061774673462E+001
2.899999926739838E+001	1.4996057E+000	1.971572165451045E+001
2.999999924213625E+001	1.4994721E+000	1.943461047134399E+001
3.099999921687413E+001	1.4996247E+000	1.919850016975397E+001
3.199999919161201E+001	1.4996438E+000	1.895140029830932E+001
3.299999916634988E+001	1.4995484E+000	1.874358338890076E+001
3.399999914108776E+001	1.4995103E+000	1.854802834892274E+001
3.499999911582563E+001	1.4996247E+000	1.843041473884580E+001
3.599999909056351E+001	1.4994912E+000	1.830409460105895E+001
3.699999906530138E+001	1.4994531E+000	1.817993666610715E+001
3.799999904003926E+001	1.4995294E+000	1.809315882110595E+001
3.899999901477713E+001	1.4995484E+000	1.802214634170532E+001
3.999999898951501E+001	1.4994912E+000	1.794075587921142E+001
4.099999896425288E+001	1.4995484E+000	1.791118064346313E+001
4.199999893899076E+001	1.4994531E+000	1.789871483001707E+001
4.299999891372863E+001	1.4995675E+000	1.791707496490471E+001
4.399999888846651E+001	1.4995294E+000	1.789198120613098E+001
4.499999886320438E+001	1.4997201E+000	1.789709347190853E+001
4.599999883794226E+001	1.4997010E+000	1.786958905181883E+001
4.699999881268013E+001	1.4995866E+000	1.796354091567993E+001
4.799999878741801E+001	1.4994531E+000	1.802849216117858E+001
4.899999876215588E+001	1.4995103E+000	1.810470049362181E+001
4.999999873689376E+001	1.4995484E+000	1.822805810813901E+001
5.099999871163163E+001	1.4995294E+000	1.832356418571473E+001
5.199999868636951E+001	1.4995294E+000	1.842161160850524E+001
5.299999866110738E+001	1.4994721E+000	1.853644690475460E+001
5.399999863584526E+001	1.4995675E+000	1.873692826194764E+001
5.499999861058313E+001	1.4994721E+000	1.890795736465452E+001
5.599999858532101E+001	1.4995866E+000	1.911028080596924E+001
5.699999856005888E+001	1.4994912E+000	1.934938480873103E+001
5.799999853479676E+001	1.4995103E+000	1.953631604347228E+001
5.899999850953463E+001	1.4995866E+000	1.970447166557312E+001
5.999999848427251E+001	1.4996247E+000	2.001773324279782E+001
